id,name,url1,url2,url3
30,Golden Temple,http://upload.wikimedia.org/wikipedia/commons/9/9c/Golden_Temple_India.jpg,http://media1.santabanta.com/full1/Sikhism/The%20Golden%20Temple/the-golden-temple-39a.jpg,http://www.molon.de/galleries/India/Punjab/Amritsar/images01/01%20Golden%20Temple.jpg
31,Gwalior Fort,http://upload.wikimedia.org/wikipedia/commons/9/97/Fort_Gwalior.jpg,http://media-cdn.tripadvisor.com/media/photo-s/01/0b/60/86/gwalior-fort.jpg,http://www.onthegotours.com/repository/Gwalior-Fort-776_0_500.jpg
32,Hawa Mahal,http://upload.wikimedia.org/wikipedia/commons/3/37/Hawa_Mahal_2011.jpg,http://www.tnstravel.com/photo-gallery/photos/hawa-mahal.jpg,"http://www.traveltorch.com/image-gallery/hawa%20mahal,%20jaipur.jpg"
33,Tughlaqabad Fort,http://upload.wikimedia.org/wikipedia/en/8/8c/Ghiyath_aldin_tughluq_tomb.JPG,http://upload.wikimedia.org/wikipedia/commons/a/a9/Tughlaqabad_Fort_010.jpg,http://www.bcmtouring.com/pics/mausoleum-ghiyas-ud-din-tughluq.jpg
34,Purana Quila,http://upload.wikimedia.org/wikipedia/commons/a/a5/Purana_Qila_03.jpg,"http://3.bp.blogspot.com/-ErgqdqGjImU/T0aTwQ2uFoI/AAAAAAAAGW0/YI6iEXs6608/s1600/Purana+Qila,+Delhi2.jpg","http://upload.wikimedia.org/wikipedia/commons/b/bb/Purana_Quila_main_gate,_where_Samrat_Hem_Chandra_Vikramaditya_had_his_Coronation_on_7th_October_1556.JPG"
35,Jama Masjid,"http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Jama_Masjid,_Delhi.jpg/265px-Jama_Masjid,_Delhi.jpg","http://upload.wikimedia.org/wikipedia/commons/0/05/Jama_Masjid,_Delhi,_morning_view.jpg",http://upload.wikimedia.org/wikipedia/commons/e/e1/India_-_Delhi_Jama_masjid_-_5142.jpg
36,Red Fort,http://4.bp.blogspot.com/-aJuTzQ3gQwc/UatOurmLw5I/AAAAAAAAAOs/LKrBOPmHrDg/s1600/lal-quila.jpg,http://upload.wikimedia.org/wikipedia/commons/1/1c/RedFort.jpg,http://www.khyberrestaurant.com/wp-content/uploads/2013/11/74801_83820749_UBYbUd5f_fort.jpg
37,Barabar Caves,http://www.wondermondo.com/Images/Asia/India/Bihar/Barabar.JPG,http://www.mapability.com/travel/p2i/20090118/D7209.jpg,http://static.panoramio.com/photos/large/59155928.jpg
38,Khuda Bakhsh Oriental Library,http://kblibrary.bih.nic.in/images/Library.jpg,http://nevertiredoftravelling.files.wordpress.com/2014/01/khudabakshorientallibrarypatna.jpg,http://www.biharplus.in/wp-content/uploads/2011/01/khuda-baksh-oriental-library-03.jpg
39,Kurukshetra,http://www.indianmirror.com/tourism/images/kurukshetra-top-img.jpg,http://dynamic.realestateindia.com/prop_images/152703/239557_1.jpg,http://2.bp.blogspot.com/-Qgs383zeF9g/ULXlJTUt2GI/AAAAAAAADVQ/ALa7TQTqwU0/s640/kurukshetra5.jpg
